00:00.329  blend            | Read blend: "/Users/dk/Projects/3d render blender 3rd attempt building/.claude/worktrees/lighting/master.blend"
[common] set_lod viewport=LOD1 render=LOD0: 6448 objects, 6 collections
[check] gating on /Users/dk/Projects/3d render blender 3rd attempt building/.claude/worktrees/lighting/master.blend (9679 objects; ORN instanced onto its sockets)
[check] 307 samples x 96 rays in 28.3s

  frame     t |      x      y     z | nearest  what                              |   agl surface                    | speed  leg
    329  13.7 |   52.8   69.6  3.15 |    4.50  ENV_lagoon_water                 |  4.45 ENV_lagoon_water           |  9.20  water
    333  13.8 |   53.7   68.4  3.19 |    4.54  ENV_lagoon_water                 |  4.49 ENV_lagoon_water           |  9.20  water
    337  14.0 |   54.6   67.1  3.23 |    4.57  ENV_lagoon_water                 |  4.53 ENV_lagoon_water           |  9.20  water
    341  14.2 |   55.5   65.9  3.26 |    4.60  ENV_lagoon_water                 |  4.56 ENV_lagoon_water           |  9.20  water
    345  14.3 |   56.4   64.6  3.28 |    4.63  ENV_lagoon_water                 |  4.58 ENV_lagoon_water           |  9.20  water
    349  14.5 |   57.2   63.3  3.31 |    4.66  ENV_lagoon_water                 |  4.61 ENV_lagoon_water           |  9.20  water
    353  14.7 |   58.0   62.0  3.35 |    4.70  ENV_lagoon_water                 |  4.65 ENV_lagoon_water           |  9.20  water
    357  14.8 |   58.8   60.7  3.42 |    4.77  ENV_lagoon_water                 |  4.72 ENV_lagoon_water           |  9.20  water
    361  15.0 |   59.6   59.4  3.53 |    4.88  ENV_lagoon_water                 |  4.83 ENV_lagoon_water           |  9.20  water
    365  15.2 |   60.5   58.1  3.67 |    5.02  ENV_lagoon_water                 |  4.97 ENV_lagoon_water           |  9.20  water
    369  15.3 |   61.3   56.9  3.85 |    5.20  ENV_lagoon_water                 |  5.15 ENV_lagoon_water           |  9.20  water
    373  15.5 |   62.2   55.7  4.06 |    5.42  ENV_lagoon_water                 |  5.36 ENV_lagoon_water           |  8.85  water
    377  15.7 |   63.1   54.6  4.39 |    5.75  ENV_lagoon_water                 |  5.69 ENV_lagoon_water           |  8.43  water
    381  15.8 |   63.9   53.6  4.81 |    6.17  ENV_lagoon_water                 |  6.11 ENV_lagoon_water           |  8.01  water
    385  16.0 |   64.7   52.7  5.26 |    6.56  ENV_shrub_pitto5_1076_LOD1       |  6.56 ENV_lagoon_water           |  7.60  water
    389  16.2 |   65.5   51.9  5.67 |    5.99  ENV_shrub_pitto5_1076_LOD1       |  6.97 ENV_lagoon_water           |  7.18  water
    393  16.3 |   66.2   51.0  5.98 |    5.99  ENV_shrub_pitto5_1076_LOD1       |  7.27 ENV_riprap_s00_r0          |  6.76  water
    397  16.5 |   67.0   50.2  6.16 |    5.82  ENV_shrub_big1_1085_LOD1         |  7.46 ENV_lagoon_water           |  6.35  water
    401  16.7 |   67.6   49.5  6.22 |    5.56  ENV_shrub_big1_1085_LOD1         |  6.72 ENV_terrain_ground         |  5.93  water
    405  16.8 |   68.2   48.7  6.17 |    5.08  ENV_shrub_big1_1085_LOD1         |  6.37 ENV_shrub_pitto5_1076_LOD1 |  5.60  shore
    409  17.0 |   68.8   48.0  6.03 |    5.09  ENV_tree_eucalyptus_03_LOD1      |  6.61 ENV_terrain_ground         |  5.60  shore
    413  17.2 |   69.5   47.4  5.80 |    4.84  ENV_shrub_big1_1085_LOD1         |  6.38 ENV_terrain_ground         |  5.60  shore
    417  17.3 |   70.1   46.8  5.47 |    4.26  ENV_shrub_big1_1085_LOD1         |  6.15 ENV_terrain_ground         |  5.60  shore
    421  17.5 |   70.7   46.2  5.08 |    4.37  ENV_shrub_big1_1085_LOD1         |  5.74 ENV_ground_colonnade_walk  |  5.60  shore
    425  17.7 |   71.2   45.5  4.66 |    4.45  ENV_shrub_big1_1085_LOD1         |  5.34 ENV_ground_colonnade_walk  |  5.60  shore
    429  17.8 |   71.7   44.9  4.25 |    4.31  ENV_shrub_big1_1085_LOD1         |  4.96 ENV_ground_colonnade_walk  |  5.60  shore
    433  18.0 |   72.2   44.1  3.87 |    4.50  ENV_shrub_big1_1085_LOD1         |  4.59 ENV_ground_colonnade_walk  |  5.60  shore
    437  18.2 |   72.6   43.4  3.55 |    4.31  ENV_ground_colonnade_walk        |  4.27 ENV_ground_colonnade_walk  |  5.60  shore
    441  18.3 |   72.9   42.5  3.24 |    3.99  ENV_ground_colonnade_walk        |  3.95 ENV_ground_colonnade_walk  |  5.60  shore
    445  18.5 |   73.1   41.7  2.94 |    3.74  ENV_terrain_ground               |  3.66 ENV_ground_colonnade_walk  |  5.60  shore
    449  18.7 |   73.3   40.8  2.65 |    3.40  ENV_ground_colonnade_walk        |  3.34 ENV_ground_colonnade_walk  |  5.60  shore
    453  18.8 |   73.4   39.9  2.38 |    3.10  ENV_ground_colonnade_walk        |  3.06 ENV_ground_colonnade_walk  |  5.60  shore
    457  19.0 |   73.5   39.0  2.14 |    2.87  ENV_ground_colonnade_walk        |  2.86 ENV_terrain_ground         |  5.60  shore
    461  19.2 |   73.5   38.1  1.93 |    2.69  ENV_ground_colonnade_walk        |  2.65 ENV_ground_colonnade_walk  |  5.60  shore
